"Index","fcmean","fc95","fc80","fc0"
2016-01-02 18:00:00,75.3561482786,75.3561482786,75.3561482786,75.3561482786
2016-01-02 19:00:00,74.9683802645,74.9683802645,74.9683802645,74.9683802645
2016-01-02 20:00:00,74.4885472475,74.4885472475,74.4885472475,74.4885472475
2016-01-02 21:00:00,73.9358104957,73.9358104957,73.9358104957,73.9358104957
2016-01-02 22:00:00,73.3304815586,73.3304815586,73.3304815586,73.3304815586
2016-01-02 23:00:00,72.6934996672,72.6934996672,72.6934996672,72.6934996672
2016-01-03 00:00:00,70.5891421369,70.5891421369,70.5891421369,70.5891421369
2016-01-03 01:00:00,72.407259789,72.407259789,72.407259789,72.407259789
2016-01-03 02:00:00,74.2383536566,74.2383536566,74.2383536566,74.2383536566
2016-01-03 03:00:00,76.0671062336,76.0671062336,76.0671062336,76.0671062336
2016-01-03 04:00:00,77.8766165986,77.8766165986,77.8766165986,77.8766165986
2016-01-03 05:00:00,79.6484453685,79.6484453685,79.6484453685,79.6484453685
2016-01-03 06:00:00,81.3627702927,81.3627702927,81.3627702927,81.3627702927
2016-01-03 07:00:00,82.9987125548,82.9987125548,82.9987125548,82.9987125548
2016-01-03 08:00:00,84.5348819768,84.5348819768,84.5348819768,84.5348819768
2016-01-03 09:00:00,85.95016029,85.95016029,85.95016029,85.95016029
2016-01-03 10:00:00,87.2246978075,87.2246978075,87.2246978075,87.2246978075
2016-01-03 11:00:00,88.3410472834,88.3410472834,88.3410472834,88.3410472834
2016-01-03 12:00:00,89.2853104394,89.2853104394,89.2853104394,89.2853104394
2016-01-03 13:00:00,90.0481400817,90.0481400817,90.0481400817,90.0481400817
2016-01-03 14:00:00,90.6254348238,90.6254348238,90.6254348238,90.6254348238
2016-01-03 15:00:00,91.0185901908,91.0185901908,91.0185901908,91.0185901908
2016-01-03 16:00:00,91.2342281075,91.2342281075,91.2342281075,91.2342281075
2016-01-03 17:00:00,91.2834075172,91.2834075172,91.2834075172,91.2834075172
2016-01-03 18:00:00,91.1804069069,91.1804069069,91.1804069069,91.1804069069
2016-01-03 19:00:00,90.9412467028,90.9412467028,90.9412467028,90.9412467028
2016-01-03 20:00:00,90.582169018,90.582169018,90.582169018,90.582169018
2016-01-03 21:00:00,90.1183027301,90.1183027301,90.1183027301,90.1183027301
2016-01-03 22:00:00,89.5627101324,89.5627101324,89.5627101324,89.5627101324
2016-01-03 23:00:00,88.9259432749,88.9259432749,88.9259432749,88.9259432749
2016-01-04 00:00:00,86.7594312706,86.7594312706,86.7594312706,86.7594312706
2016-01-04 01:00:00,88.4389316929,88.4389316929,88.4389316929,88.4389316929
2016-01-04 02:00:00,90.0412128059,90.0412128059,90.0412128059,90.0412128059
2016-01-04 03:00:00,91.5393628151,91.5393628151,91.5393628151,91.5393628151
2016-01-04 04:00:00,92.9087243891,92.9087243891,92.9087243891,92.9087243891
2016-01-04 05:00:00,94.1283134768,94.1283134768,94.1283134768,94.1283134768
2016-01-04 06:00:00,95.18181733,95.18181733,95.18181733,95.18181733
2016-01-04 07:00:00,96.0580973467,96.0580973467,96.0580973467,96.0580973467
2016-01-04 08:00:00,96.7512020014,96.7512020014,96.7512020014,96.7512020014
2016-01-04 09:00:00,97.2599649051,97.2599649051,97.2599649051,97.2599649051
2016-01-04 10:00:00,97.5873115737,97.5873115737,97.5873115737,97.5873115737
2016-01-04 11:00:00,97.7394197138,97.7394197138,97.7394197138,97.7394197138
2016-01-04 12:00:00,97.7248716919,97.7248716919,97.7248716919,97.7248716919
2016-01-04 13:00:00,97.5539095393,97.5539095393,97.5539095393,97.5539095393
