time,id,port,rx_packets,rx_byes,rx_errors,tx_packets,tx_bytes,tx_errors,rx_packetsps,rx_byesps,rx_errorsps,tx_packetsps,tx_bytesps,tx_errorspsn
1.001650,      32,       2,      50,    7078,       0,      16,    2277,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.003802,      32,       2,      79,   12545,       0,      24,    3548,       0,28.940701,5455.821190,0.000000,7.983642,1268.401085,0.000000
3.002770,      32,       2,      89,   14514,       0,      30,    4491,       0,10.013467,1971.651712,0.000000,6.008080,944.269967,0.000000
4.003380,      32,       2,     105,   16881,       0,      38,    5363,       0,15.995889,2366.391801,0.000000,7.997944,871.775940,0.000000
5.006427,      32,       2,     119,   18642,       0,      42,    5922,       0,13.959698,1755.930610,0.000000,3.988485,557.390807,0.000000
6.003446,      32,       2,     119,   18642,       0,      42,    5922,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.004017,      32,       2,     160,   22320,       0,      79,   92862,       0,40.981104,3676.304850,0.000000,36.982947,86899.930309,0.000000
8.007340,      32,       2,    1613,  118588,       0,    1532, 4552776,       0,1448.353450,95960.144465,0.000000,1448.353450,4445651.636466,0.000000
9.008525,      32,       2,    2092,  150218,       0,    2002, 6136349,       0,478.466014,31594.739091,0.000000,469.476047,1581807.643560,0.000000
10.005593,      32,       2,    2253,  161342,       0,    2161, 6593821,       0,161.484804,11157.496665,0.000000,159.478782,458849.542840,0.000000
11.006197,      32,       2,    2735,  193430,       0,    2642, 8178859,       0,481.744214,32070.971655,0.000000,480.744745,1584196.857727,0.000000
12.005970,      32,       2,    3054,  214928,       0,    2959, 9094111,       0,319.130184,21506.773348,0.000000,317.129368,915625.514952,0.000000
13.006666,      32,       2,    3979,  275978,       0,    3882,12261239,       0,924.505379,61017.355026,0.000000,922.506449,3165434.456823,0.000000
14.007593,      32,       2,    3980,  276320,       0,    3882,12261239,       0,0.999197,341.725271,0.000000,0.000000,0.000000,0.000000
15.011553,      32,       2,    3981,  276662,       0,    3883,12261581,       0,0.996210,340.703973,0.000000,0.996210,340.703973,0.000000
16.007801,      32,       2,    3985,  277090,       0,    3884,12261688,       0,4.016375,429.752081,0.000000,1.004094,107.438020,0.000000
17.007741,      32,       2,    3985,  277090,       0,    3884,12261688,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.007995,      32,       2,    4307,  299008,       0,    4204,13175436,       0,321.952639,21914.776243,0.000000,319.952934,913613.603544,0.000000
19.008281,      32,       2,    5861,  401572,       0,    5758,18223693,       0,1553.768470,102548.719050,0.000000,1553.768470,5047504.863164,0.000000
20.008460,      32,       2,    6062,  415060,       0,    5957,18846616,       0,200.982318,13486.813478,0.000000,198.982494,622868.202263,0.000000
21.014927,      32,       2,    6868,  468922,       0,    6763,21370019,       0,800.911886,53521.980134,0.000000,800.911886,2507473.269409,0.000000
22.009814,      32,       2,    8767,  594700,       0,    8667,27473862,       0,1909.089586,126446.271662,0.000000,1914.116151,6136273.355902,0.000000
23.009629,      32,       2,    9953,  673918,       0,    9870,31307454,       0,1186.510327,79252.086887,0.000000,1203.517642,3835241.564691,0.000000
24.011730,      32,       2,   12118,  817750,       0,   12011,37956108,       0,2160.779727,143551.625731,0.000000,2136.826511,6635693.660819,0.000000
25.010162,      32,       2,   13896,  935320,       0,   13786,43361455,       0,1781.063343,117772.563112,0.000000,1778.058174,5414659.953210,0.000000
