loading app ./StatGrabber.py
loading app ryu.controller.ofp_handler
instantiating app ./StatGrabber.py of SimpleMonitor
time,id,port,rx_packets,rx_byes,rx_errors,tx_packets,tx_bytes,tx_errors,rx_packetsps,rx_byesps,rx_errorsps,tx_packetsps,tx_bytesps,tx_errorsps
instantiating app ryu.controller.ofp_handler of OFPHandler
1.001462,      32,       1,       6,     508,       0,      48,    7147,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.001650,      32,       2,      50,    7078,       0,      16,    2277,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002184,      11,       1,       9,     634,       0,      54,    8205,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002277,      11,       2,      53,    7605,       0,      16,    2008,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002388,      12,       1,       6,     508,       0,      56,    7978,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002469,      12,       2,      47,    6067,       0,      16,    2538,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002567,      31,       1,       6,     508,       0,      51,    7686,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002645,      31,       2,      47,    7085,       0,      19,    2270,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002744,      21,       1,       6,     508,       0,      55,    7914,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002819,      21,       2,      16,    2008,       0,      53,    7605,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002918,      21,       3,      16,    2538,       0,      47,    6067,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002996,      21,       4,      19,    2270,       0,      47,    7085,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.003072,      21,       5,      16,    2277,       0,      50,    7078,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.003316,      32,       1,       8,     648,       0,      85,   13673,       0,1.996670,139.766872,0.000000,36.938388,6515.132912,0.000000
2.003802,      32,       2,      79,   12545,       0,      24,    3548,       0,28.940701,5455.821190,0.000000,7.983642,1268.401085,0.000000
2.005954,      12,       1,      14,    1068,       0,      95,   14957,       0,7.972192,558.053474,0.000000,38.864438,6954.741418,0.000000
2.006194,      12,       2,      82,   12092,       0,      28,    4052,       0,34.872849,6003.111842,0.000000,11.956405,1508.499806,0.000000
2.006912,      11,       1,      18,    1292,       0,      91,   14769,       0,8.958432,654.960914,0.000000,36.829109,6533.683042,0.000000
2.007034,      11,       2,      86,   13147,       0,      31,    4066,       0,32.846672,5516.250159,0.000000,14.930305,2048.437897,0.000000
2.007358,      31,       1,      10,     788,       0,      85,   13469,       0,3.981221,278.685476,0.000000,33.840379,5755.850384,0.000000
2.007470,      31,       2,      77,   12101,       0,      29,    3930,       0,29.858237,4992.297234,0.000000,9.952746,1652.155783,0.000000
2.007770,      21,       1,      10,     788,       0,      91,   14358,       0,3.980274,278.619161,0.000000,35.822464,6412.220988,0.000000
2.007881,      21,       2,      31,    4066,       0,      85,   13105,       0,14.925864,2047.828489,0.000000,31.841842,5472.816661,0.000000
2.007970,      21,       3,      28,    4052,       0,      82,   12092,       0,11.940549,1506.499298,0.000000,34.826602,5995.150773,0.000000
2.008053,      21,       4,      29,    3930,       0,      76,   12059,       0,9.950389,1651.764617,0.000000,28.856129,4949.323616,0.000000
2.008131,      21,       5,      24,    3548,       0,      79,   12545,       0,7.960285,1264.690274,0.000000,28.856033,5439.859739,0.000000
3.002532,      32,       1,      12,     928,       0,      98,   16647,       0,4.005006,280.350446,0.000000,13.016271,2977.722238,0.000000
3.002770,      32,       2,      89,   14514,       0,      30,    4491,       0,10.013467,1971.651712,0.000000,6.008080,944.269967,0.000000
3.004594,      11,       1,      20,    1488,       0,     102,   17059,       0,2.004886,196.478795,0.000000,11.026871,2295.594079,0.000000
3.004940,      11,       2,      95,   15074,       0,      35,    4925,       0,9.019780,1931.235149,0.000000,4.008791,860.887905,0.000000
3.005334,      31,       1,      14,    1124,       0,      99,   16785,       0,4.008555,336.718586,0.000000,14.029941,3323.091759,0.000000
3.005632,      31,       2,      88,   14468,       0,      35,    4929,       0,11.021239,2371.570342,0.000000,6.011585,1000.928928,0.000000
3.005992,      12,       1,      17,    1362,       0,     109,   18029,       0,3.000579,294.056788,0.000000,14.002704,3072.593376,0.000000
3.006281,      12,       2,      96,   15164,       0,      32,    4667,       0,14.001192,3072.261497,0.000000,4.000340,615.052350,0.000000
3.006641,      21,       1,      16,    1264,       0,     107,   17849,       0,6.007432,476.589615,0.000000,16.019819,3495.324254,0.000000
3.006970,      21,       2,      35,    4925,       0,      95,   15074,       0,4.004000,859.858977,0.000000,10.010000,1970.968946,0.000000
3.007264,      21,       3,      32,    4667,       0,      96,   15164,       0,4.003151,615.484398,0.000000,14.011027,3074.419629,0.000000
3.007551,      21,       4,      35,    4929,       0,      88,   14468,       0,6.003477,999.578875,0.000000,12.006953,2410.395905,0.000000
3.007832,      21,       5,      30,    4491,       0,      89,   14514,       0,6.002377,943.373588,0.000000,10.003962,1969.780059,0.000000
4.003033,      32,       1,      18,    1432,       0,     116,   19382,       0,5.998370,503.863051,0.000000,17.995109,2734.256837,0.000000
4.003380,      32,       2,     105,   16881,       0,      38,    5363,       0,15.995889,2366.391801,0.000000,7.997944,871.775940,0.000000
4.004269,      12,       1,      19,    1530,       0,     125,   20540,       0,2.003986,168.334799,0.000000,16.031886,2516.004050,0.000000
4.004429,      12,       2,     108,   16916,       0,      36,    5203,       0,12.025555,1755.730972,0.000000,4.008518,537.141439,0.000000
4.004573,      31,       1,      17,    1362,       0,     117,   19492,       0,3.003105,238.246352,0.000000,18.018632,2709.801993,0.000000
4.004690,      31,       2,     103,   16709,       0,      40,    5535,       0,15.018337,2243.739475,0.000000,5.006112,606.740795,0.000000
4.004814,      11,       1,      21,    1586,       0,     119,   19640,       0,1.000098,98.009604,0.000000,17.001666,2581.252937,0.000000
4.004941,      11,       2,     110,   17287,       0,      38,    5391,       0,15.004575,2213.675032,0.000000,3.000915,466.142144,0.000000
4.005064,      21,       1,      18,    1460,       0,     123,   20137,       0,2.003769,196.369348,0.000000,16.030151,2292.311573,0.000000
