time,id,port,rx_packets,rx_byes,rx_errors,tx_packets,tx_bytes,tx_errors,rx_packetsps,rx_byesps,rx_errorsps,tx_packetsps,tx_bytesps,tx_errorspsn
1.002645,      31,       2,      47,    7085,       0,      19,    2270,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.007470,      31,       2,      77,   12101,       0,      29,    3930,       0,29.858237,4992.297234,0.000000,9.952746,1652.155783,0.000000
3.005632,      31,       2,      88,   14468,       0,      35,    4929,       0,11.021239,2371.570342,0.000000,6.011585,1000.928928,0.000000
4.004690,      31,       2,     103,   16709,       0,      40,    5535,       0,15.018337,2243.739475,0.000000,5.006112,606.740795,0.000000
5.005456,      31,       2,     116,   18400,       0,      45,    6164,       0,12.991346,1689.874305,0.000000,4.996672,628.581276,0.000000
6.004555,      31,       2,     116,   18400,       0,      45,    6164,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.005087,      31,       2,     118,   19084,       0,      45,    6164,       0,1.999714,683.902167,0.000000,0.000000,0.000000,0.000000
8.006517,      31,       2,     128,   20148,       0,      48,    6355,       0,9.987047,1062.621783,0.000000,2.996114,190.752594,0.000000
9.009289,      31,       2,    2191,  157848,       0,    2153, 6305739,       0,2057.475534,137331.255959,0.000000,2099.363063,6282515.007192,0.000000
10.006963,      31,       2,    5086,  350304,       0,    5017,15051059,       0,2902.031069,192923.416706,0.000000,2870.955779,8766559.705020,0.000000
11.007511,      31,       2,    7653,  519726,       0,    7589,22937283,       0,2565.781434,169341.574638,0.000000,2570.779060,7882480.375097,0.000000
12.007025,      31,       2,    8601,  582516,       0,    8490,25582324,       0,948.582587,62828.587198,0.000000,901.553704,2646666.493261,0.000000
13.010182,      31,       2,    9925,  671010,       0,    9870,29615070,       0,1319.934431,88222.263991,0.000000,1375.762473,4020362.761561,0.000000
14.008704,      31,       2,   12441,  837588,       0,   12314,36821027,       0,2520.473908,166874.206108,0.000000,2448.345878,7218770.507659,0.000000
15.014196,      31,       2,   13823,  929994,       0,   13694,40874895,       0,1374.625280,91912.896971,0.000000,1372.635952,4032235.480568,0.000000
16.008939,      31,       2,   15470, 1039082,       0,   15333,45694975,       0,1656.532071,109719.350643,0.000000,1648.485770,4847976.382808,0.000000
17.008379,      31,       2,   16170, 1085515,       0,   16030,47741255,       0,700.451737,46462.965000,0.000000,697.449801,2047600.543163,0.000000
18.009074,      31,       2,   17463, 1171736,       0,   17318,51521231,       0,1292.210373,86168.345383,0.000000,1287.213427,3777667.592684,0.000000
19.009802,      31,       2,   19323, 1295162,       0,   19171,56970758,       0,1858.801218,123346.451128,0.000000,1851.805729,5446014.743883,0.000000
20.009915,      31,       2,   20836, 1395242,       0,   20682,61418536,       0,1512.919923,100074.703154,0.000000,1510.920029,4447542.596353,0.000000
21.016185,      31,       2,   22109, 1479485,       0,   21953,65155434,       0,1265.157437,83724.004686,0.000000,1263.169758,3713876.116268,0.000000
22.014377,      31,       2,   23285, 1558049,       0,   23122,68580734,       0,1178.249299,78714.266918,0.000000,1171.235910,3431851.464719,0.000000
23.010680,      31,       2,   25100, 1678508,       0,   24934,73910178,       0,1822.056591,120927.336021,0.000000,1819.044927,5350164.499068,0.000000
24.012759,      31,       2,   27996, 1871260,       0,   27881,82551897,       0,2890.371970,192377.409531,0.000000,2941.272858,8624924.852206,0.000000
25.011315,      31,       2,   31619, 2110814,       0,   31483,93168413,       0,3628.962176,239948.221113,0.000000,3607.927617,10633987.028474,0.000000
26.012285,      31,       2,   33239, 2218189,       0,   33049,97770734,       0,1618.564082,107279.826109,0.000000,1564.611946,4598241.644484,0.000000
27.017050,      31,       2,   34659, 2312570,       0,   34484,101987624,       0,1413.386813,93941.451274,0.000000,1428.316956,4197251.210108,0.000000
28.014438,      31,       2,   36753, 2451938,       0,   36583,108147457,       0,2099.715478,139748.398623,0.000000,2104.729125,6176645.984276,0.000000
29.016007,      31,       2,   39446, 2630342,       0,   39236,115955626,       0,2689.071829,178143.769250,0.000000,2649.130175,7796779.537475,0.000000
30.013156,      31,       2,   41965, 2797960,       0,   41807,123490901,       0,2526.890992,168143.078306,0.000000,2579.053886,7558879.919717,0.000000
31.014666,      31,       2,   45997, 3066314,       0,   45831,135318595,       0,4026.423510,267982.850846,0.000000,4018.434574,11811335.612869,0.000000
32.019477,      31,       2,   50140, 3341473,       0,   49958,147435075,       0,4123.537018,273866.358290,0.000000,4107.612183,12059559.210830,0.000000
33.015649,      31,       2,   54299, 3616633,       0,   54111,159673016,       0,4175.967496,276282.571847,0.000000,4169.943018,12287868.198850,0.000000
34.016516,      31,       2,   58334, 3884077,       0,   58077,171332628,       0,4031.926768,267240.302975,0.000000,3962.979321,11650731.530510,0.000000
35.016685,      31,       2,   62308, 4147447,       0,   62094,183145357,       0,3974.090960,263376.028199,0.000000,4017.091944,11812999.378099,0.000000
36.017885,      31,       2,   65969, 4390189,       0,   65743,193864706,       0,3657.013673,242477.687259,0.000000,3645.026740,10707677.099323,0.000000
37.016964,      31,       2,   69621, 4632781,       0,   69387,204559376,       0,3655.666732,242835.570625,0.000000,3647.658700,10705407.812678,0.000000
38.017520,      31,       2,   73560, 4893646,       0,   73316,216128826,       0,3937.523301,260767.203843,0.000000,3927.527050,11565112.707737,0.000000
