time,id,port,rx_packets,rx_byes,rx_errors,tx_packets,tx_bytes,tx_errors,rx_packetsps,rx_byesps,rx_errorsps,tx_packetsps,tx_bytesps,tx_errorspsn
1159.187436,      32,       2,     458,   46868,       0,     287,  363696,       0,143.893374,11703.327776,0.000000,102.923733,150764.282921,0.000000
1160.187468,      32,       2,     483,   49898,       0,     294,  364310,       0,25.001150,3030.139431,0.000000,7.000322,614.028254,0.000000
1161.188599,      32,       2,     581,   57322,       0,     374,  538691,       0,97.895833,7416.108800,0.000000,79.914966,174195.645013,0.000000
1162.187390,      32,       2,     765,   70234,       0,     529,  887141,       0,184.236538,12928.598822,0.000000,155.199258,348897.944505,0.000000
1163.187046,      32,       2,     766,   70576,       0,     529,  887141,       0,1.000533,342.182419,0.000000,0.000000,0.000000,0.000000
1164.187965,      32,       2,     766,   70576,       0,     529,  887141,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1165.189379,      32,       2,     769,   70978,       0,     531,  887281,       0,2.996359,401.512170,0.000000,1.997573,139.830109,0.000000
1166.189193,      32,       2,     859,   77614,       0,     608, 1061423,       0,90.054664,6640.030590,0.000000,77.046768,174247.770784,0.000000
1167.188428,      32,       2,    1105,   94306,       0,     835, 1583797,       0,246.238824,16708.205067,0.000000,227.220378,522881.135501,0.000000
1168.188985,      32,       2,    1196,  101284,       0,     913, 1758005,       0,90.955783,6974.609395,0.000000,77.962100,174123.352460,0.000000
1169.190708,      32,       2,    1477,  121209,       0,    1164, 2324149,       0,280.566004,19894.226422,0.000000,250.612338,565269.607202,0.000000
1170.190303,      32,       2,    1642,  132471,       0,    1315, 2672195,       0,165.173747,11273.859004,0.000000,151.159005,348412.496070,0.000000
1171.193344,      32,       2,    1723,  137901,       0,    1390, 2846181,       0,80.773354,5414.806334,0.000000,74.790143,173499.170305,0.000000
1172.190511,      32,       2,    1726,  138303,       0,    1398, 2860010,       0,3.009561,403.281195,0.000000,8.025496,13873.073750,0.000000
1173.192256,      32,       2,    1814,  144879,       0,    1482, 3047899,       0,87.856516,6565.277803,0.000000,83.863038,187582.646162,0.000000
1174.192163,      32,       2,    1979,  156141,       0,    1619, 3368435,       0,165.030887,11264.108175,0.000000,137.025646,320596.002294,0.000000
1175.191383,      32,       2,    2060,  161571,       0,    1694, 3542421,       0,81.070202,5434.706109,0.000000,75.065002,174136.791365,0.000000
1176.196923,      32,       2,    2061,  161913,       0,    1694, 3542421,       0,0.994620,340.160073,0.000000,0.000000,0.000000,0.000000
1177.192472,      32,       2,    2061,  161913,       0,    1694, 3542421,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1178.192337,      32,       2,    2061,  161913,       0,    1694, 3542421,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1179.192914,      32,       2,    2157,  169704,       0,    1779, 3688875,       0,95.955960,7787.425916,0.000000,84.961007,146386.814927,0.000000
1180.194708,      32,       2,    2385,  185136,       0,    1982, 4168220,       0,227.624886,15406.610688,0.000000,202.666017,478556.363415,0.000000
1181.195488,      32,       2,    2386,  185478,       0,    1982, 4168220,       0,0.999709,341.900470,0.000000,0.000000,0.000000,0.000000
1182.193913,      32,       2,    2386,  185478,       0,    1982, 4168220,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1183.195207,      32,       2,    2386,  185478,       0,    1982, 4168220,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1184.195446,      32,       2,    2387,  185820,       0,    1982, 4168220,       0,0.999893,341.963474,0.000000,0.000000,0.000000,0.000000
1185.197831,      32,       2,    2391,  186248,       0,    1983, 4168327,       0,3.990774,427.012770,0.000000,0.997693,106.753192,0.000000
1186.197547,      32,       2,    2392,  186590,       0,    1984, 4168669,       0,1.000591,342.202255,0.000000,1.000591,342.202255,0.000000
1187.196156,      32,       2,    2392,  186590,       0,    1984, 4168669,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
